isv	pos	synonyms
končina		zakončenje
kooperacija		surabota, surabotničstvo, sutrudničstvo
kooperovati		spolupracovati, spolurabotyvati, surabotati, sutruditi
kopa		gromada, kupa
kopaljnja		rudnik
kopati		grebti
kopija		odtisk
kopijovati		kopirovati
kopirovati		kopijovati
kopot		sadža
kora		korka, šlupa
korab		lod
korabnik		morjak
korekcija		popravka
korektny		pravilny, pravy
korespondencija		dopisyvanje, prěpiska
korespondent		dopisnik, dopisyvatelj
korigovati		opravjati, popravjati
korist		vygoda
koristati		koristiti, poljzovati, priměnjati, upotrěbjati, uživati
koristiti		koristati, poljzovati, priměnjati, upotrěbjati, uživati
koristnik		upotrěbitelj
koristny		blagotvorny, pomočny, upotrěbimy
koriti		karati
koričnevy		kaštanovy
korka		kora, lupina, luščina, skorlupa, šlupa
koryto		žlěb
kosa		pletenka
kosba		košenje
kosm		zavitok
kosmaty		kudlaty, vlasaty
kostel		crkov, crkva
kostka		kub
kostno jedro		kostny mozok
kostny mozok		kostno jedro
kotel		čajnik
kotlina		kotlovina
kotlovina		kotlina
kovaljnja		kuznja
kovati		izkovyvati
koverec		kilim
kovina		metal
kovčeg		grob
kozel odpuščenja		žrtveny kozel
kozyr		atut
koš odpadov		smetnik
košarka		basketbol
košenje		kosba
koštovati		stojati
kožuh		šuba
kradež		kradža, ukradženje
kradža		kradež, ukradženje
kraj		država, krajina, obrub, okrajina, strana
krajina		kraj, městnost, oblast, region, strana
krajnec		ekstremist
kralica		dama, kraljeva
kraljeva		dama, kralica
kraljevska boa		kraljevsky udav
kraljevsky udav		kraljevska boa
krasa		krasivost, krasnost, krasota, lěpota
krasavica		krasnica
krasiti		ozdabjati, ukrašati
krasivost		krasa, krasnost, krasota, lěpota
krasivy		dobropogledny, krasny, lěpy
krasivši		krasnějši
krasnica		krasavica
krasnost		krasa, krasivost, krasota, lěpota
krasny		dobropogledny, krasivy, lěpy
krasnějši		krasivši
krasopis		kaligrafija
krasopisec		kaligraf
krasota		krasa, krasivost, krasnost, lěpota
kratky		kusy, sožety, sžety
kreativnost		tvorčestvo
kreativny		tvorčji
kredenc		bufet
kreker		suhar
kremnij		silicij
krest		kreščenje
krestna mati		kmotra, kuma
krestny otec		kmotr, kum
kreten		balvan
kreščenje		krest
krijumčariti		kontrabandovati
krik		klik, vrěsk
kriknuti		kliknuti
kriterij		měrilo
krivda		lož, ložnost, obida, zlo
krivditi		lgati
krivy		bludny, falšivy, hybny, ložny, nepopravny, nepravilny, nepravy, nevěrny, opačny, vinny, vinovaty, zabludny
kriza		prělom
kričati		klicati
križišče		prěsěčenje
kroj		razrěz
kromě		s izključenjem
kromě togo		navyše, pokromě, čto bolje, čto vyše
kronika		hronika, lětopis
kronikar		hronikar, lětopisec
krotiti		odomašnjati
krotky		pokorny
krovny pritisk		pritisk krvi
krošiti		drobiti, razdrobjati
krugla		meč
krugly		obly, okrugly
krutiti		kružiti, obračati, točiti, vrtěti
krutiti se		kružiti se, točiti se
kruty		okrutny, svirěpy, žestoky
kruženje		obrat
kružiti		krutiti, obračati, točiti, vrtěti
kružiti se		krutiti se, točiti se
krvinok		klětka krve
krysa		ščur
kryti		hovati, skryvati, ukryvati
kryti se		skryvati se
krzno		futro, srst
krěhky		lomlivy
krěpiti		podkrěpjati, ukrěpjati, usiljati, utvrdžati
krěpkost		živost
krěpky		jedrny, silny, tugy
krěpost		tvrdža
krěslo		stol, stul, sědališče
kto-nebud		ktokoli
ktokoli		kto-nebud
ktory		iže, koj
ktory-libo		koj-nebud, ktory-nebud, ktorykoli
ktory-nebud		koj-nebud, kojkoli, ktory-libo, ktorykoli
ktorykoli		koj-nebud, kojkoli, ktory-libo, ktory-nebud
kub		kostka
kubok		čaša
kuder		zavitok
kudlaty		kosmaty, vlasaty
kudy-libo		kudy-nebud, kudykoli
kudy-nebud		kudy-libo, kudykoli
kudykoli		kudy-libo, kudy-nebud
kuharsky		kulinarny
kuhati		variti
kukla		ljaljka, marionetka
kulinarny		kuharsky
kuljgati		hromati
kuljgavy		hromy
kulminacija		klimaks
kum		kmotr, krestny otec
kuma		kmotra, krestna mati
kup		kupja, pokupka, zakupka
kupa		gromada, kopa
kupanje		kupělj
kupec		kupovatelj, trgovec
kupina		ježina
kupja		kup, pokupka, zakupka
kupovatelj		kupec
kupělj		kupanje
kur		kokot
kura		kokoška
kurec		huj, kolbasa, penis
kuriozny		divny, čudny
kuriti		paliti, pušiti
kurivo		tabak, tjutjun
kurs		směr
kurva		razvratnica
kus		děl, kusok
kusati		gryzati, gryzti
kusnuti		ugryzti, ukusiti
kusok		děl, kus
kustomizovanje		prisposobjenje
kusy		bezhvosty, kratky, sožety, sžety
kut		vugol
kutny		narožny
kuznja		kovaljnja
kvalitet		kakost
kvartira		apartament
kvas		droždže
kvasny		droždževy
kvestija		dělo, pytanje, stvar, vopros, zapytanje
kvokati		kokodakati
kydati		metati, vrgati
kydnuti		metnuti, vrgnuti, vvrgnuti
kyj		pala, palka, prut
kymati		kyvati
kymnuti		kyvnuti
kyt		velryb
kyvati		kymati
kyvnuti		kymnuti
lager		stan, tabor
lagodnost		něžnost
lagodny		delikatny, laskavy, poblažlivy
lajno		gnoj, govno
lakomec		skupec
lakomy		htivy
lamanje		lomjenje
lamati		lomiti
lampa		světilka
lancuh		lanec, veriga
lanec		lancuh, veriga
lanji		v prošlom godu
lansky		prošlogodišnji, prošlogodišny, prošloročny
lapati		grabiti, hvatati, loviti
lapka		navodnica, znak citovanja
laska		blagomilost, dobrota, milost, něžnost
laskati		gladiti, ljstiti, milovati
laskavy		lagodny, ljubezny, něžny, čutny
latinizacija		romanizacija
latiničny		latiničsky
latiničsky		latiničny
laziti		lězti, polzati, polzti, vozhoditi
laznja		banja
le		jedino, jedva, ledva, samo, toliko
led		světlodioda
lednik		ledovec
ledovec		lednik
ledovity		leděny
ledva		jedva, le
ledvica		nyrka
ledvičny		nyrkovy
ledvičny kamenj		nyrkovy kamenj
leděna gora		ajsberg
leděniti		mraziti, zamražati
leděny		ledovity
legalny		legitimny, pravny
legati		legti
legenda		prědanje
legija		legion
legion		legija
legitimny		legalny, zakonny, zakonoměrny
legko		bezusilno, prosto
legkost		bezusilje, bezusilnost
legkověrny		naivny
legky		bezusilny, prosty
legovišče		brlog
legti		legati
lejtenant		poručnik
lekcija		pouka
lepetati		bajati
leskati		blěskati, blěstěti
lest		fokus, trik
let		lětanje, polet
letač		aviator
letišče		aerodrom, aeroport
letok		listovka
leščina		lěska
ležeči velosiped		ležiped
ležiped		ležeči velosiped
ležišče		lože, postelj
ležkovina		postelina
lgar		lžec
lgati		krivditi
li		či
liberalny		svobodnomysljny
libovoljny		opcionalny
lice		obličje
liceměrje		liceměrnost, liceměrstvo
liceměrnost		liceměrje, liceměrstvo
liceměrny		dvulicevy, dvuličny
liceměrstvo		liceměrje, liceměrnost
lider		voditelj, vodž
lihy		loši, nedobry, neparny, zlobny, zly
lingvist		jezykoslovec, jezykověd, jezykoznavec
lingvistika		jezykovědstvo, jezykoznanje, jezykoznavstvo
linija		črta
linza		sočevica
lipenj		julij, sedmy měsec
listopad		jedinnadsety měsec, novembr
listovka		letok
litera		bukva, pisme
literarny		kniževny, literaturny
literatura		kniževnost
literaturny		kniževny, literarny
liti		odlivati
livada		luka, poljana
lično		osobno
ličnost		osobnost
ličny		osobny, personalny
lišaj		herpes
lišati		izbavjati
lišiti		izbaviti
ljaljka		kukla
ljstiti		laskati
ljstivy		hytry, lukavy
ljuba		sladnica
ljubezny		galantny, laskavy, mily, prijatlivy, privětlivy, učtivy
ljubimy		milovany
ljubitelj		amater
ljubiti		milovati
ljubopytny		pytlivy
ljubost		naslada, prijatnost, prijemnost, razkoš
ljubovnica		naložnica
ljuby		sladnik
ljudny		mnogoljudny
ljudobijstvo		genocid, narodobijstvo, rodobijstvo
ljudojed		kanibal, ljudožerec
ljudojedsky		kanibalsky, ljudožersky
ljudojedstvo		kanibalizm, ljudožerstvo
ljudožerec		kanibal, ljudojed
ljudožersky		kanibalsky, ljudojedsky
ljudožerstvo		kanibalizm, ljudojedstvo
ljudskost		člověčnost
ljudsky		člověčji, člověčny, člověčsky
ljudstvo		gradžanstvo, naseljenje, člověčstvo
ljuljati		kolěbati
ljuljačky		kolěbanky
ljuljka		fajka
ljutost		svirěpost
ljuty		běsny, fevruar, vtory měsec
lob		lobanja, čerep
lobanja		lob, čerep
lod		korab
lodka		čoln
logo		logotip
logotip		logo
logovati se		prijavjati se
lokalny		městny, sdešnji, sdešny
lokativ		městnik, městny padež
lokomotiva		parovoz
lomiti		lamati
lomjenje		lamanje
lomlivy		krěhky
loskotati		ščekotati
lov		lovitva, lovjenje
lovec		lovitelj
lovitelj		lovec
loviti		grabiti, hvatati, lapati
lovitva		lov, lovjenje
lovjenje		lov, lovitva
loza		galuz, větka
loše		nedobro, zlo
loši		lihy, nedobry, zly
lož		krivda, ložnost
lože		ležišče, postelj
ložica		ložka
ložka		ložica
ložnost		krivda, lož
ložny		falšivy, krivy, nepravdivy
ludy		bezumny
luk		cibulja, svod
luka		livada, poljana
lukavy		hytry, ljstivy
lukovica		cibulica
lukovy		cibuljevy
luna		měsec
lunno světlo		měsečno světlo, světlo luny, světlo měseca
lunny		měsečny
lupina		korka, luščina, skorlupa, šlupa
lupiti		odšlupyvati
luskati		luščiti, odšlupyvati
lučše		lěpje
lučši		lěpši
luščina		korka, lupina, skorlupa, šlupa
luščiti		luskati, odšlupyvati
lěk		lěkarstvo, srědstvo
lěkar		doktor
lěkarstvo		lěk, srědstvo
lěnivost		lěnost
lěnivy		lěny
lěnost		lěnivost
lěny		lěnivy
lěpilo		klej
lěpiti		klejiti
lěpje		lučše
lěpky		klejky
lěpota		krasa, krasivost, krasnost, krasota
lěpy		dobropogledny, krasivy, krasny, prijemny
lěpši		lučši
lěska		leščina
lěsny rog		valtorna
lěsok		gaj
lěstvica		drabina
lěta		gody
lětajuča myš		netopyr
lětalo		aeroplan, samolet
lětanje		let, polet
lětnji		lětny
lětnji solncevrat		dolgodenstvo
lětny		lětnji
lětopis		hronika, kronika
lětopisec		hronikar, kronikar
lěvičarsky		lěvy
lěvo		vlěvo
lěvy		lěvičarsky
lězti		laziti, polzati, polzti, vozhoditi
lěčenje		ozdravjenje
lěčiljnja		boljnica
lěčitelj		uzdravitelj
lěčiti		gojiti, izcěljati, ozdravjati, uzdravjati
lěčiti se		izcěljati se
lžec		lgar
madjar		vugrec
madjarija		vugrija
madjarsky		vugrsky
magazin		časopis, žurnal
magija		čar, čary
magičny		čarovny
magnetičny		magnetny
magnetny		magnetičny
maj		pety měsec, travenj
majak		světilnik
majsky hrušč		hrušč
makijaž		šminka
malenjkost		bagatela, malost
malenjky		drobny
maljar		živopisec
maljevati		barviti, farbovati
malo		nemnogo, nemnožko, slegka, trohu, trohy
malokrovje		anemija
malomolvny		molčalivy
malost		bagatela, malenjkost
malovažny		nevažny
malovodny		mělky
malověrny		skeptičny
malpa		malpica, opica
malpica		malpa, opica
maly		drobny
mamiti		izmamjati, obmanyvati
mandarina		mandarinka
mandarinka		mandarina
manera		podoba, sposob
mapa		karta
marec		brězenj, tretji měsec
marihuana		konopja
marionetka		kukla
marionetočna država		marionetska država
marionetočna vlada		marionetska vlada
marionetska država		marionetočna država
marionetska vlada		marionetočna vlada
marker		flomaster
marlivo		pracovito, trudoljubivo
marlivost		pracovitost, trudoljubivost, trudoljubje
marlivy		pracovity, trudoljubivy, usrdny
marsian		marsianin
marsianin		marsian
marulja		abrikos
marš		pohod
maršrut		trasa
masakra		sěča
maslina		olivka
mast		mazilo
masturbacija		drkanje
masturbovati		drkati
material		tvorivo
materinsky		matersky
matersky		materinsky
matčina		domovina, otečstvo, otčina
mazilo		mast
mašinalny		mehaničny
mašinist		mašinopisec
mašinopisec		mašinist
me		mene
medlo		pomalo, povoljno
medly		mlavy, mly, nebystry, pomaly, povoljny, slaby
medža		granica
medžu		posrěd, srěd, vsrěd
medžu drugymi		medžu inymi
medžu inymi		medžu drugymi
medžugradny		medžugradsky
medžugradsky		medžugradny
medžusobny		vzajemny
medžutym		jednako, jednakože, jednakže, obače
medžuvrěme		medžučas
medžuvrěmenno		medžučasno
medžuvrěmenny		medžučasny, prědběžny
medžučas		medžuvrěme
medžučasno		medžuvrěmenno
medžučasny		dočasny, medžuvrěmenny, prohodny
mehaničny		mašinalny
mekati		blejati
mekčiti		smekčati
melodija		napěv
memorial		pametnik, pomnik
mene		me
menstruacija		měsečnica
mentalny		duševny, mysljenny
meridian		poldnik
mesar		mesnik
mesnik		mesar
mesojed		mesožerec
mesojedny		mesožerny
mesožerec		mesojed
mesožerny		mesojedny
mesti		mětati, zamětati
meta		cělj
metal		kovina
metati		kydati, vrgati
metež		bunt, povstanje, vozstanje
meti		mečkati
metnuti		kydnuti, vrgnuti, vvrgnuti
metoda		sposob
meč		krugla
mečkati		meti
mešalka		měšatelj
mi		mně
mikrobus		minibus
mikrovalna peč		mikrovolnova peč
mikrovolnova peč		mikrovalna peč
militantny		vojevničji
milost		blagomilost, laska
milovany		ljubimy
milovati		gladiti, laskati, ljubiti
mily		dragy, ljubezny, prijatny, prijemny
mimohodeči		mimohodom
mimohodny		prigodny, slučajny
mimohodom		mimohodeči
mimovoljno		neumyslno
mimovoljny		nenaměrjeny, nenaměrny, neumyslny
minibus		mikrobus
minovati		prohoditi
minulost		prošedšest, prošlost
minuly		prošedši, prošly
minuti		projdti
mir		pokoj, spokojstvo
mirny		nevojnovy, spokojny
mladec		junoš, junoša
mladenec		junoš, junoša
mladečstvo		hlapstvo
mladica		děva, děvka, děvče, děvčina
mladoženka		nevěsta
mlady		juny
mlat		kladivo
mlatba		mlačenje
mlatok		kladivo
mlavy		medly, mly, slaby
mlačenje		mlatba
mlo		slabo
mly		medly, mlavy, slaby
mlynar		mělnik
mlěčna draga		mlěčny put
mlěčny put		mlěčna draga
mnih		monah
mniška		monahynja
mnogo		duže, silno, velje, velmi
mnogobožstvo		politeizm
mnogokulturny		multikulturny
mnogokutnik		mnogovugolnik
mnogoljudny		ljudny
mnogoraky		pestry
mnogorěčivy		mnogoslovny
mnogoslovny		mnogorěčivy
mnogovugolnik		mnogokutnik
množina		množstveno čislo
množinstvo		boljšest, večinstvo
množiti		razmnažati
množstveno čislo		množina
mně		mi
mněti		dumati, mněvati, mysliti
mněvati		domněvati, dumati, mněti, mysliti
model		obrazec, vzor
modelovati		vajati
modernizacija		osovrěmennjenje
modernizovati		osovrěmennjati
moderny		sovrěmenny, sučasny
modry		nebesky, sinji
modrěti		siněti
mogutny		moguči, močny
moguči		mogutny, močny
mogyla		grob
moknuti		mokrěti
mokriti		močiti
mokrišče		bagno, močar
mokrost		velžnost, vlažnost, volgkost
mokrota		vlaga
mokrěti		moknuti
moldavija		moldova
moldova		moldavija
molestovati		napadati
molitevnik		molitovnik, časoslov
molitovnik		molitevnik, časoslov
molnja		blěskavica, perun
molva		govor, rěč
molviti		govoriti
molčalivy		malomolvny, molčny
molčny		molčalivy
moment		hvilja
monah		mnih
monahynja		mniška
monastyr		konvent
moneta		groš, pěnez
monisto		našijnik, ogrlica
monoteizm		jednobožstvo
montaža		montovanje, sborka
montovanje		montaža, sborka
montovati		instalovati, opravjati
monument		pametnik, pomnik
mor		čuma
morati		byti dolžen, imati, iměti, musěti, trěbovati
moriti		umarjati
morjak		korabnik
morska svinka		morsko prase
morska trava		morska vodorast
morska vodorast		morska trava
morsko prase		morska svinka
morva		tutovo drěvo
motto		deviz, gaslo
motvuz		povraz, vezalo, vrvka, šnur
motylik		motylj
motylj		motylik
moč		močnost, sila
močar		bagno, mokrišče
močarny		blatny
močiti		mokriti
močno		silno
močnost		moč, sila
močny		mogutny, moguči, silny
mošna		portmone
može		možlivo, možno
možlivo		eventualno, može, možno
možlivost		možnost, okazija
možlivy		eventualny, možny
možno		eventualno, može, možlivo
možno najskorěje		čim skorěje
možnost		možlivost, okazija
možny		eventualny, izvodlivy, možlivy
mrak		temnost, temnota, tma
mravišče		mravja kopa
mravja kopa		mravišče
mravojed		trubkozub
mrazina		sladoled
mraziti		leděniti
mračiti se		sumrkati se
mračny		bezradostny, temny
mrknuti		temněti
mrtvec		trup
mrtvečina		mrša, padalina
mrtvy		izumrly, izumrěly
mrzavec		zatračenec
mrzko		odvratno, omrzno
mrzky		gadny, gnusny, odvratlivy, odvratny, omrzlivy, omržajuči
mrznuti		zebti
mrěža		sět, sětka
mrša		mrtvečina, padalina
mrščiti se		hmuriti se
msta		pomsta
mstiti		odplačati
mudak		zadnik
mudo		jaječko
muka		mučenje
mukanje		mučanje
mukati		mučati
multikulturny		mnogokulturny
muskul		myšca
muskusna krysa		ondatra
musliman		muslimanin
muslimanin		musliman
musěti		byti dolžen, imati, iměti, morati, trěbovati
mutiti		bezpokojiti, smučati
mutny		kalny
mučanje		mukanje
mučati		mukati
mučenje		muka
mučiteljny		bolěsny
muž		suprug
mužskost		mužstvo
mužstvo		mužskost
myliti		namyljati
mylnica		podstavka na mylo
myslim		myslju
mysliti		mněti, mněvati
myslj		ideja, pomysl
mysljenny		duševny, mentalny
myslju		myslim
myti		umyvati
myšca		muskul
mědny		měděny
měděny		mědny
měhurok		bublina
mělina		mělj
mělj		mělina
mělky		malovodny
mělnik		mlynar
měna		izměna, izměnjenje, obměn, razměna, zaměna
měnjati		izměnjati, obměnjati, prěměnjati
měnlivy		nepostojanny
měra		stupenj
měrilo		kriterij, standard
měriti		cěliti
měrny		ritmičny
měrodajny		nadežny, věrodostojny
měsec		luna
měsečnica		menstruacija
měsečno světlo		lunno světlo, světlo luny, světlo měseca
měsečny		lunny
městečko		okrug
městnik		lokativ, městny padež
městnost		krajina, oblast
městny		lokalny, sdešnji, sdešny
městny padež		lokativ, městnik
městoime		zaime, zaimennik
městopoloženje		razpoloženje, uměščenje
mětati		mesti, zamětati
měšanec		hibrid
měšatelj		mešalka
měšati		směšivati
měšek		torba, vrěča
měščan		gradžan, gradžanin, měščanin
měščanin		gradžan, gradžanin, měščan
měščanka		gradžanka
na dol		do dolu, vdol, vniz
na glas		glasno
na javu		napravdu
na početku		izprva, početkovo
na prěkor		pomimo
na vsaku okolnost		na vsaky slučaj
na vsaky slučaj		na vsaku okolnost
na žalost		žalj
na živo		za živo
nabirati		naryvati, sbirati
nabiti		napolniti
nabor		verbovanje
nabožny		věrozakonny
nabrati		sobrati
nabreknuti		opuhnuti, spuhnuti
nabuhati		breknuti, opuhati
nabuhnuti		opuhnuti, spuhnuti
nabzděti		bzdnuti
naběg		najezd, napad, vpad, zahvat
nacija		narod
nacionalizacija		unarodnjenje
nacionalizovati		unarodnjati
nad		ponad, povyše
nad-		super-, svrh-
nadarmo		naprazdno
nadavati		dariti
nadežny		měrodajny, věrodostojny
nadglavišče		zenit
nadigrati		pokoriti, poraziti
nadir		podnožišče
nadměrno		črězměrno
nadměrnost		črězměrnost
nadměrny		neuměrny, črězměrny
nadobyčajna situacija		vněredna situacija
nadohnenje		inspiracija
nadpis		napis, zaglavje
naduty		arogantny, samoljubny
nadužiti		zloupotrěbiti
naduživati		zloupotrěbjati
nadzirati		kontrolovati
naděti		oblačiti, oděti
naděvati		oblačati, oblěkati, oděvati
naglo		iznenada, iznenadsko, neočekyvano
nagly		neočekyvany
nagnojiti		ognojiti
nagnuti		nakloniti
nagorno		povyše, vyše
nagost		golota, nagota
nagota		golota, nagost
nagrada		odplata
nagraditi		prisuditi
nagradžati		prisudžati
nagromadžati		gromaditi
nagy		goly
nahodka		odkrytje
nahodnost		geneza, iztočnik, pohodženje, proizhodženje
naigrati		zapisati
naigryvati		zapisyvati
naivny		legkověrny
najbolje		največe, najvyše
najboljši		najveliky, največši
najeti		iznajeti
najezd		naběg, vpad
najezdnik		zagrabnik
najgorši		najzly
najhladnějši		najzimnějši
najkrasivši		najkrasnějši
najkrasnějši		najkrasivši
najlegši		najprostějši
najlučši		najlěpši
najlěpši		najlučši
najmalo		najmenje
najmati		iznajmati
najmenje		najmalo
najmnogo		največe, najvyše
najmě		osoblivo, specialno
najprostějši		najlegši
najstarějši		najstarši
najstarši		najstarějši
najveliky		najboljši, največši
največe		najbolje, najmnogo, najvyše
največši		najboljši, najveliky
najvyše		najbolje, najmnogo, največe
najzimnějši		najhladnějši
najzly		najgorši
nakaz		poručenje, prikaz, razporedženje, zapověd
nakazati		prikazati
nakazyvati		kazati, prikazyvati
naklad		izdanje, publikacija
nakladati		nalagati
naklanjati		kloniti
naklon		sklon, spad
nakloniti		nagnuti
naklonnost		sklonnost
nakonec		konečno, naposlěd, naposlědok, v koncu
nakryti		obložiti
nakryvati		pokryvati
nalagati		nakladati
naležati		prinaležati
naležity		odgovarjajuči, prigodny, uměstny, vlastny
naložnica		ljubovnica
nalěvo		vlěvo
namastiti		omastiti
namokriti		namočiti
namotyvati		navivati
namočiti		namokriti
namyljati		myliti
naměr		plan, umysl, zamysl
naměriti		zaplanovati
naměrjati		planovati
naměrno		naročito, umyslno
naměrny		naročity, umyslny
naměstnik		gubernator
nanesti		prinesti
nanizati		navlěkti
nanovo		iznova, opet, ponovno, snova
naopak		obratno, protivno
naostriti		natočiti
naočila		okuljary
napad		ataka, naběg, pristup, vpad, zahvat
napadati		atakovati, molestovati
napadnik		napastnik
napajati		pojiti
napaljeny		vozbudlivy, vozbudženy
napasti		naskočiti
napastnik		agresor, napadnik
napeti		napružiti, pnuti
napetost		napreženje, napruženje
napečatati		odpečatati
napinati		nategati, pinati
napis		nadpis
napiti se		opiti se, upiti se
napitok		napoj
napivati se		opivati se, upivati se
naplyv		pritok
napoj		napitok
napolniti		nabiti
napor		natisk, natuga, pritisk, pritiskanje, usilje
naposlěd		konečno, nakonec, naposlědok, v koncu
naposlědok		konečno, nakonec, naposlěd, v koncu
napravdu		istinno, na javu, stvarno, zaisto, zapravdu
napraviti		izdělati, izpraviti, izrabiti, opraviti, popraviti, sdělati, učiniti
napravjati		dělati, izpravjati, opravjati, popravjati, rabiti, remontovati, činiti
napravo		vpravo
naprazdno		nadarmo
naprazdny		jalovy
napreženje		napetost, napruženje
napriklad		napriměr
napriměr		napriklad
naprostrina		pokryvalo
naprti		naprěti
napruženje		napetost, napreženje
napružiti		napeti, pnuti
naprěd		prědnje, prědže, vprěd
naprěti		naprti
napěv		melodija
narod		nacija
naroditi		poroditi, uroditi
narodna vojna		vojna ljudij
narodobijstvo		genocid, ljudobijstvo, rodobijstvo
narodopis		etnografija
narodopisec		etnograf
narodženje		porod, rodženje, urodženje
naročito		naměrno, umyslno
naročity		naměrny, umyslny
narožny		kutny
naručati		zamolvjati
naručiti		zamolviti
naručka		braslet, zamolvjenje
narušati		prěstupati
narušiti		prěstupiti
naryvati		nabirati, rvati, trgati
narěkati		imenovati, nazyvati
narěkti		nazvati
narěčje		dialekt, prislovnik, prislovok
nasaditi		zasaditi
nasadžati		saditi
naseljenje		ljudstvo
nasilnik		tiran
naskoro		nedavno, onogda, onogdy
naskočiti		napasti
naskroz		skroz
naslada		ljubost, prijemnost
nasladžati se		těšiti se iz
naslědnik		nastupnik
naslědny		nastupny, slědny, slědujuči, vslědny
naslědok		izhod, izslědok, poslědica, poslědstvo, rezultat
naslědovanje		imitacija
nasmeška		izsměvka, izsměška
nasos		pompa
naspati se		izspati se
nastaviti		naznačiti, opraviti, prodolžiti, upraviti, ustaviti
nastavjati		dolžiti, prodolžati, upravjati, ustavjati
nastavjenja		nastrojky
nastavjenje		ustavjenje
nastavok		pridatok
nastignuti		dognati, dostignuti, stignuti
nastoječi		nyněšnji, nyněšny, segdašnji, segdašny, sejčasny, tutčasny
nastolna lampa		nastolna světilka
nastolna světilka		nastolna lampa
nastradati se		natrpěti se
nastrašiti		izplašiti, prěstrašiti
nastrojenje		razpoloženje
nastrojky		nastavjenja
nastupajuči		nastupny, prědstoječi
nastupnik		naslědnik
nastupny		naslědny, nastupajuči, prědstoječi, slědny, slědujuči, vslědny
nasučny		neodložny, spěšny
nasyp		val
nasěkomo		insekt, šestinožka, žuželka
nategati		napinati, pinati
natisk		napor, pritisk
natiskati		pritiskati
natisknuti		pritisknuti
natočiti		naostriti
natrpěti se		nastradati se
natrti		natrěti
natrěti		natrti
natuga		napor, trud, usilje
naturalističny		prirodničny
naturalny		prirodny
naučnik		učeny
naušniky		slušalky
navesti		pobuditi, procitovati
navet		až, daže, dokonce
navivati		namotyvati
navlaka		navlačka
navlačka		navlaka
navlažiti		orositi
navlěkti		nanizati
navoditi		citovati
navodnica		lapka, znak citovanja
navodniti		obvodniti, orositi, podliti
navodnjati		obvadnjati, orašati, podlivati
navoščiti		ovoščiti
navyk		nrav, obyčaj, privyčaj
navyše		kromě togo, čto bolje, čto vyše
navěditi		posětiti
navědžati		posěčati
navěky		věčno
nazad		dozad, nazadno, pozadu, tomu, vzad
nazadno		dozad, nazad, pozadu, vzad
nazadnost		zaostalost
nazadny		vzadny
nazemny		pozemny
naznačati		nominovati, oprěděljati, označati, ukazyvati
naznačiti		nastaviti, oprěděliti, označiti
nazva		ime, nazvanje
nazvanje		ime, nazva
nazvati		narěkti
nazyvati		imenovati, narěkati, zvati
načelnik		glava, glavnik, voditelj, vodž, vrhnik
načelnik policije		šef policije
načelo		početok, začetok
načeti		početi, započeti, začeti
načeti se		početi se
načinati		počinati, započinati, začinati
načinati se		počinati se
načto		začto, čemu
našijnik		monisto, ogrlica
ne dozvaljaje se		ne pozvaljaje se
ne pozvaljaje se		ne dozvaljaje se
ne soglasiti se		ne suglasiti se
ne soglašati se		ne suglašati se
ne suglasiti se		ne soglasiti se
ne suglašati se		ne soglašati se
nebesky		modry, sinji
nebesny		nebsky
nebezpečnost		groza, opasnost
nebezpečny		grozny, opasny
neblagodarny		nevdečny
nebogy		ubogy
nebojazlivost		neustrašnost
nebojazlivy		bezstrašny, hrabry, neubojazny, neustrašny, odvažny, směly
nebožčik		pokojnik
nebrěžnost		nedbalost
nebrěžny		nedbaly
nebsky		nebesny
nebystry		medly, pomaly, povoljny
nedavno		naskoro, onogda, onogdy
nedbalost		nebrěžnost
nedbaly		nebrěžny
nedobro		loše, zlo
nedobry		lihy, loši, zly
nedoslědnost		nekonsistencija
nedostatok		brak, defekt, odsutnost, odsutstvo, oskudnost, porok
nedostojny		negodny
nedostupny		nepristupny
nedotykajemost		neporušimost
nedotykajemy		nenarušimy, neporušimy
nedozvoljeny		nepozvoljeny, vozbranjeny
nedragy		deševy
nedug		bolěznj, hvoroba, zabolěvanje, zahvorěvanje
negativny		črnogledny
negodny		nedostojny, neprigodny
negotovy		prědvrěmenny, prědčasny
negramotnost		analfabetizm, neznanje, temnota
nehaj		da
nehati		ostaviti
neizběžnost		neminujemost
neizběžny		neminujemy, neodvratimy
neizgoda		porok
neizměrimy		bezměrny
neizvěstny		nevědomy, neznajemy, neznany
nekaznivost		bezkarnost
nekaznivy		bezkarny
nekompletny		nepolny
nekonsistencija		nedoslědnost, protivrěčnost
nekrasny		bridky, skaredny, urodlivy
nelegalny		nezakonny
nema		nemaje
nemaje		nema
nemalo		bez malogo, bliz, omal, skoro, skorěje
nemaly		značny
nemilosrdny		neumolimy
nemily		neprijatny, neprijemny
neminujemost		neizběžnost
neminujemy		neizběžny, neodvratimy
nemirny		bezpokojny, neposědlivy, nervozny, nespokojny
nemnogo		malo, trohu, trohy
nemnožko		malo, slegka, trohu, trohy
nemoralny		amoralny
nemoč		bezvladnost, slabost
nemočny		bezsilny, bezvladny
nemožlivost		nemožnost
nemožlivy		nemožny
nemožnost		nemožlivost
nemožny		nemožlivy
nenaměrjeny		mimovoljny, nenaměrny, neumyslny
nenaměrny		mimovoljny, nenaměrjeny, neumyslny
nenarušimy		nedotykajemy, neporušimy
nenasytny		žravy
neobhodimost		nudža
neobhodimy		nužny, potrěbny
