isv	pos	synonyms
bezčestny		nečestny, sramny, sramotny
bezšumnost		spokojstvo, tišina
bezšumny		spokojny, tihy
binarny		dvojčany
binoklj		dalekogled
biograf		životopisec
biografija		životopis
biskup		episkop
biti		raziti, udarjati
bitka		bojka
bitva		boj, sěča
biznes		trgovanje
bjuleten		věstnik
bjust		poprsje
blago		blagostanje, dobro, dostatok
blagodare		dekujuči, hvala
blagodarim		blagodarju, dekuju
blagodarju		blagodarim, dekuju
blagodarno		vdečno
blagodarnost		vdečnost
blagodarny		vdečny
blagomilost		laska, milost, usluga
blagomily		blagoprijatny, blagosklonny
blagoprijatny		blagomily, blagosklonny
blagosklonny		blagomily, blagoprijatny, prijatlivy
blagostanje		blago, dobrobyt, dostatok
blagotvorny		koristny
blagověščenje		izvěstovanje
blagy		blaženy
blatny		močarny
blato		bagno, grez, kal
blazn		bezumnik, pajac
blaženy		blagy
blejati		mekati
blin		palačinka
bliz		bez malogo, nemalo, omal, skoro, skorěje
blizko		poblizu, vodle
blizky		bližnji, bližny, približeny
blizky iztok		blizky vozhod, srědnji iztok, srědnji vozhod
blizky vozhod		blizky iztok, srědnji iztok, srědnji vozhod
bliznec		dvojče
blizneci		dvojčeta
bližiti se		približati se
bližnji		blizky, bližny
bližny		blizky, bližnji
bljudce		podtalirka
bljušč		brešljan
blokovati		zastavjati
blud		grěška, hyba, pogrěška, pohybka, pomylka, zabluda
bluditi		blukati, broditi, zabludžati
bludny		hybny, krivy, opačny, zabludny
blukati		bluditi, broditi, zabludžati
bluza		bluzka
bluzka		bluza
blěskati		leskati
blěskavica		molnja, perun
blěstěti		leskati
boa		udav
bob		fasolja
bodati		bosti, klati
bodati se		bosti se
bodry		vesely
bogatost		bogatstvo, dostatok
bogatstvo		bogatost, dostatok
bogaty		imuči
bogatyr		heroj, vitez
bogatyrsky		heroičny, herojsky
bogohuljenje		bogohulstvo
bogohulstvo		bogohuljenje
bogoslovec		teolog
bogoslovje		teologija
bogoslužba		bogosluženje
bogosluženje		bogoslužba
boj		bitva, sěča
bojazlivo		strahlivo
bojazlivy		bojazny, strahlivy
bojaznj		strah, trevoga
bojazny		bojazlivy
bojec		bojevnik, borec, vojak, vojevnik, vojin
bojevati		vojevati
bojevnik		bojec, borec, vojak, vojevnik, vojin
bojevy		vojevničji
bojka		bitka
bojny		vojenny, vojinsky
bok		strana
bolje		veče, vyše
bolje ili menje		veče ili menje
boljnica		lěčiljnja
boljny		hvory, zabolěvši, zahvorěly
boljšest		množinstvo, večinstvo
boljši		veličejši, večši, vyše veliky
bolěsny		mučiteljny, težky
bolěti		hvorěti
bolězlivo		hvoroblivo
bolězlivy		hvoroblivy
bolěznj		hvoroba, nedug, zabolěvanje, zahvorěvanje
bonbon		cukrka
bor		sosna
bordelj		publičny dom
borec		bojec, bojevnik, vojak, vojevnik
bosfor		bospor
bosonogy		bosy
bospor		bosfor
bosti		bodati, klati
bosti se		bodati se
bosy		bosonogy
bočka		bočva
bočny		postranny
bočva		bočka
božja kravka		bedrenec
bradavička		soska
bradobrivec		frizer
brak		defekt, hyba, nedostatok, porok
braniti		obranjati, zaščičati
braslet		naručka
brati		jeti
brdo		gorka, holm, pagorok, vozvyšenost
breknuti		nabuhati, puhnuti
brešljan		bljušč
bridko		skaredno
bridky		nekrasny, ostry, skaredny, urodlivy
briti		goliti
briti se		goliti se
brjuhaty		debely, tolsty
brjuho		trbuh
brjušny		trbušny
brlog		legovišče
broditi		bluditi, blukati
broj		cifra, nomer, čislo
bronja		pancyr
brošura		knižka
brtnik		pčelar
brusiti		točiti
brvno		klada
brza pomoč		skora pomoč
brzina		bystrost
brzo		bystro, skoro
brzy		bystry, skory
brěgovy		brěžny, pobrěžny
brěme		oteženje
brěst		iljm, vez
brězenj		marec, tretji měsec
brěžny		brěgovy, pobrěžny
buba		žuk, žuželka
buben		baraban
bublina		měhurok
budka		barak, hata
budovati		postavjati
bufer obměna		buferna pamet
buferna pamet		bufer obměna
bufet		kredenc
buhhalter		knigovoditelj, učetovoditelj
buhhalterka		knigovoditeljka, učetovoditeljka
buhta		zaliv
bujny		obilny
buket		kita
bukva		litera, pisme
bukvalno		doslovno
bukvalny		doslovny
bulgar		bulgarin
bulgarin		bulgar
bulj-bulj		glug-glug
bunt		metež, povstanje, vozstanje
buntovnik		povstanec
buriti		razrušati, razvaljati
burja		vihor
burja větra		vihor
burlivy		diky, divy
butylka		fljaška
bylina		rastlina
byly		byvši
bystro		brzo, skoro
bystrost		brzina
bystry		brzy, skory
byti		egzistovati, istnovati, jestvovati, obstajati, sutstvovati
byti dolžen		imati, iměti, morati, musěti, trěbovati
byti soglasny		privoljati
bytje		bytost, egzistencija, jestestvo
bytost		bytje, egzistencija, egzistovanje, jestestvo
byvši		byly
byček		junec
bzdnuti		nabzděti
bzděti		prděti
běda		nudža
bědny		ubogy
běg		gonka, proběganje
běglost		tečnost
běgly		plavny, tečny
běgstvo		běženje
bělok		protein
běs		djabol, djavol, črt
běsnost		jarost
běsny		ljuty
běženje		běgstvo
car		cěsar, imperator
carica		dama
carstvo		cěsarstvo, imperija
cegla		ceglina
ceglina		cegla
celer		seler
centr		osrědok, srědišče
centralny		srědnji, srědny
cepelin		vozduholod
ceremonija		obred, ritual
cibulica		lukovica
cibulja		luk
cibuljevy		lukovy
cifra		broj, nomer, čislo
